,char_line
10024,elaine: we just didn't think of you.
10025,"kramer: you said it, sister."
10026,"george: what? every time i leave my house now i have to call everybody i know and ask them if they want to do what i'm doing? people forget. look at ""home alone"". they forgot."
10027,"george: great move, telling him, by the way, real smart move."
10028,jerry: i didn't know i wasn't supposed to say anything!
10029,"george: judgement, jerry, judgement! you exercised no judgement."
10030,jerry: you're right. my fault.
10031,"elaine: kramer? i'm so sorry, really."
10032,"george: yeah, i'm sorry."
10033,"kramer: i'm sorry, i don't care for that sorry."
10034,"george: what was wrong with that sorry? it was a good sorry. jerry, was that a good sorry?"
10035,jerry: it was a so-so sorry. a delivery truck pulls up and honks. the driver leans out of the cab.
10036,george: you heard the man. i guess you gotta be moving your car.
10037,mike: and like you're not gonna just back it in if i do that?
10038,"elaine: you see, they had to move the cars so the truck could get through, right? but these guys don't trust each other so they got these two nonpartisan drivers to move them."
10039,"jerry: wild pack of teenagers, huh?"
10041,"jerry: amazing how they picked you, out of everyone, to terrorize."
10042,"elaine: yeah. i know, i said to myself, 'why us?' you remember?"
10044,"jerry: sounds like you did some pretty nifty maneuvering,"
10045,"george: well, you know, it's interesting, you know, under that pressure, what you're capable of."
10047,george: i learned a lot about myself.
10048,jerry: what did you do to my car?!
10049,"george: i couldn't help it! elaine moved the mirror, i got discombobulated."
10050,"elaine: oh, like you've ever been bobulated."
10051,jerry: i thought you said you were a good driver!
10052,"george: no no, i never said i was a good driver, i said i was a good parker."
10053,jerry: i think you said driver.
10054,"george: parker, i never said driver, i said parker, a great parker."
10055,mike: will you move it up a little bit?
10056,"george: no no no, that's in the right position."
10057,"mike: no no, i was further in."
10058,"george: no you weren't. stop there, that's fine."
10061,"sid: hey, somebody better move these cars, you're making a commotion."
10062,jerry: hey sid.
10064,"sid: never mind who i am. i know who i am. do you know who you are? (to george) why is it every time you park a car in this block, everything gets disrupted and disjointed?"
10065,"george: sid, it's completely his fault."
10066,"mike: oh, right."
10067,sid: why don't you start taking the bus?
10068,"jerry: okay, george. come on, let's go. i'm putting it in a garage. the fight's starting in two minutes."
10069,george: don't do it!
10070,"jerry: what are we gonna do, stay out here all night?"
10071,"george: yes! i'm not giving him the satisfaction, it's my space."
10072,elaine: why don't you just flip a coin already?
10073,"george: no no, this is a matter of principle. that would just be saying that anybody could just pull into any parking space any way they want. well i'm making a stand here. i'm saying *no* to head first parking. i'm not putting up with that. we put up with too much crap in this city, we're not putting up with head first parking."
10074,"elaine: you know, maybe if you hadn't been sitting there pontificating about what a great parker you were, you might have got the space."
10075,"george: so you're against me now? an old man and matthew, the boy who's father owns the 'fat free' frozen yogurt store, are discussing the incident."
10076,"matthew: no he couldn't, because the other car was already backing in."
10077,matthew: all that matters is who was there first.
10078,matthew: you just spit on me!
10079,matthew: you're not my father.
10080,jerry: hey matthew.
10081,matthew: hi jerry. this guy's really a jerk.
10084,"jerry: hey, how's your father? i hear he's closing his store."
10086,"jerry: oh no, nothing."
10087,matthew: what's happened to daddy? he's going out of business?
10088,"jerry: no, no, no, no."
10089,matthew: we're not going to have any money? we're out of money?
10090,"jerry: no, of course not, of course not!"
10091,matthew: mommy!? jerry says daddy's closing the store. he's going out of business. we don't have any money?
10092,jerry: i didn't--
10093,"kramer: oh, congratulations."
10094,"kramer: well, you're pregnant."
10095,kramer: you're not pregnant?
10096,kramer: are you sure you're not pregnant?
10097,kramer: that's weird.
10099,kramer: i thought she was pregnant.
10100,"jerry: hey, do you think i'm phony?"
10102,jerry: mike thinks i'm a phony.
10103,elaine: he thinks you're a phony?
10104,"jerry: yeah, but i can't say anything because kramer wasn't supposed to tell me."
10105,"elaine: oh, you have to say something."
10106,"jerry: i can't, i told kramer i was vaulting it."
10107,elaine: you gotta open the vault.
10108,jerry: open my vault?
10109,elaine: open your vault.
10110,"jerry: once i open the vault, it ceases to be a vault."
10111,elaine: you have no choice.
10112,jerry: oy ga-vault.
10113,newman: you wanna know why you can't go in front first? i'll tell you why. because it signals a breakdown in the social order. chaos. it reduces us to jungle law. george begins applauding.
10114,kramer: when can you park head first?
10116,mike: what are you asking this guy for?
10117,newman: who's talking to you?
10118,george: he's right. never.
10119,mike: oh yeah? what if you got ten car lengths? you have to pull all the way up to the front car?
10120,"newman: well, i suppose if you got ten car lengths."
10121,george: when do you ever have ten car lengths?
10122,kramer: what about sundays and holidays?
10123,"george: oh please. a passerby (sheila) stops and asks george,"
10125,"george: oh, this guy tried to sneak into my space."
10126,sheila: i really hate people who do that. i hope you don't let him get away with it.
10127,"george: well, thank you for your support."
10128,"sheila: hey, that's a great hat."
10129,george: really? you like it? i got it at a flea market today.
10130,"newman: hey george, nice hat."
10131,"george: yeah, thanks."
10132,newman: can i try it on?
10133,"george: no! it, uh, it wouldn't fit you."
10134,newman: well sure it would.
10135,"george: no! get out of here, newman."
10136,"newman: come on, let me try it on."
10137,"george: no, newman, stop it."
10138,sheila: let him try it on.
10139,george: i don't want him to!
10140,sheila: what is wrong with you?
10141,"george: you wanna see?! (pulling off the hat to reveal the bald pate) there! there it is! (turning to newman) alright, here! you wanna try on the hat?! here! try on the hat!"
10142,"newman: stop it, george, stop it. i was defending your parking."
10143,"george: alright, just keep the hat!"
10144,"jerry: alright, that's it. the fight's already started. i'm going upstairs, who's coming? elaine?"
10145,elaine: it depends on who's going. (to george) are you going?
10146,kramer: i'm not going if he's going.
10147,newman: me either.
10149,mike: well i'm going.
10150,jerry: well if he's going then i'm not going.
10151,newman: but it's your house.
10152,jerry: i still don't have to go.
10153,elaine: well i don't want to go if jerry's not going.
10154,mike: why won't you go if i go?
10155,jerry: why? i'll tell you why.
10156,"kramer: no. don't, jerry."
10157,jerry: like you didn't call me a phony?
10158,"mike: what? (to kramer) thanks! real good! jerry! first of all, i think you completely misunderstood what i said. i meant it in a complementary way. i mean, you know when people say, 'he's bad', it really means he's good, sort of thing? you know, slang."
10159,jerry: use it in a sentence.
10160,"mike: man, that michael jordan is so phony. (to kramer) why'd you tell him?!?"
10161,kramer: he begged me.
10162,mike: he begged you?!
10163,"jerry: alright, come on. who wants to watch the fight? two police officers walk up."
10164,"george: officer, could i just explain something to you?"
10165,"george: officer, he can't pull in head first."
10166,"mike: officer, he backed up from down the street. he was double-parked, he was sitting there."
10167,"george: well, you're gonna have to go to the bathroom!"
10168,"mike: well, you're gonna have to go to work!"
10169,george: i don't have a job!
10170,"mike: neither do i! jerry closes the window, sits down on the couch, picks up the remote and turns on the tv."
10171,"jerry's brain: what is it about sleep that makes you so thirsty? do dreams require liquid? it's not like i'm running a marathon, i'm just lying there. (jerry notices his door is open.)"
10172,"jerry's brain: what the hell...? why is the door open? (jerry looks out into the hallway, turns back into his apartment, and runs into kramer in the dark. they both scream. kramer turns on the light.)"
10173,"jerry: kramer, what are you doing here!?"
10174,"kramer: jerry, now calm down, it's okay. i'm sorry. i didn't want to wake you up! y'know, i was watching ""thirty seconds over tokyo,"" and i - y'know, i wanted to get some popcorn, and i, uh...i used the spare keys that you gave me to come into your apartment to get your popper."
10175,jerry: you scared me!
10176,kramer: it's just me.
10177,jerry: that's enough!
10178,"kramer: forgot the popper... (goes to the kitchen, grabs the popper, drops the lid, juggles it around, then exits.) new scene. jerry's apartment, daytime. we hear jerry hurriedly trying to get in the door."
10179,"jerry: c'mon...c'mon... (jerry enters, sheds his jacket, drops his luggage and heads for the bathroom. he opens the door to find kramer taking a bubble bath in his tub.)"
10180,jerry: kramer! what are you doing?!
10181,kramer: what does it look like i'm doing? what?
10182,"jerry: get out! get out of the bathroom, i gotta go!"
10183,"kramer: alright, alright..."
10184,jerry: c'mon!
10185,kramer: sorry.
10186,jerry: move it! move it! get going!
10187,"kramer: my drain's all clogged up! (comes out of the bathroom in a towel, covered in soap suds.)"
10188,jerry: is that my towel? (kramer loses the towel in the hallway and throws it on jerry's floor from the other side of the door.) new scene. jerry's hallway at night. jerry approaches his door with a girlfriend.
10189,"jerry: hey, did you ever pretend there's like, murderers chasing you, and you try and see how fast you can get your keys out and get into your apartment?"
10190,jerry: oh. i see. there he is! (pretends the murderers are coming.)
10191,jerry: the murderers! (jerry unlocks his door and they both run inside.)
10192,jerry: did you see the look on that guy's face?
10193,jerry: kramer! what the hell are you doing here?!
10194,"kramer: hey, jerry! how are ya? i thought you were going to the movies."
10195,"jerry: all right, that's it. hand 'em over."
10197,"jerry: what, you know what, the keys. i want the keys. you've lost your key privileges."
10198,"kramer: oh, come on!"
10199,"jerry: no, come on!"
10200,"kramer: what, what, i thought you went to the movies!"
10201,jerry: it was sold out!
10202,kramer: now how was i supposed to know it was going to be sold out?
10204,kramer: what point?
10205,"jerry: just, look, just give the keys."
10206,kramer: just give me another chance!
10207,jerry: don't ask me!
10208,kramer: i'm asking you!
10209,jerry: i'm telling you.
10210,kramer: you're joking.
10211,jerry: i'm serious!
10212,kramer: it's not going to happen again!
10213,"jerry: yes it will, now give me those keys! (jerry and kramer begin struggling over the keys. kramer loses his footing and falls on the floor, taking his girlfriend down with him.)"
10214,"kramer: o.k., fine, go ahead, you take the keys! but you're going to regret this. (he angrily storms out. kramer then re-enters seconds later when he realizes he's left his girlfriend in jerry's apartment.) new scene. jerry's apartment, the next day. jerry is now giving his spare keys to elaine."
10215,jerry: so put 'em in a safe place.
10216,elaine: i will.
10218,"elaine: i don't know. i'll hide 'em. so, is kramer upset?"
10219,"jerry: i think so. i mean, he's acting really weird lately...he's different."
10220,"elaine: well, maybe you should just give him the keys back."
10221,jerry: i can't. (there's a gentle knock at the door.)
10222,elaine: is that kramer? (jerry nods.)
10223,jerry: who's there?
10224,"kramer: uh, kramer. (jerry opens the door, kramer enters. elaine waves at kramer with the keys in her hand.) oh, hi...uh...you got the..."
10225,"elaine: oh, i'm not, uh..."
10226,"kramer: no, no, no, it's o.k. i don't care about the keys. it's my fault. i gave the keys away with my stupidity. i broke ""the covenant of the keys."""
10227,"elaine: jerry, give him the keys back."
10228,"jerry: elaine... (elaine tries to give the keys to kramer, but jerry won't let her. jerry and elaine begin struggling over the keys. kramer breaks it up.)"
10229,"kramer: i don't want the keys back! no, i'm glad the way things turned out. i was clingin' to those keys, man! like a branch on the banks of a raging river. and now i have let go. and i'm free...to go with the current. to float. (to jerry) and i thank you."
10230,jerry: take the keys.
10231,"kramer: i don't want the keys! (jerry tries to force the keys on kramer, but kramer refuses.)"
10232,"kramer: now, one more thing - i would like my keys back."
10233,jerry: your spare set?
10235,jerry: you want 'em back?
10236,"kramer: yeah. yeah, i think it would be for the best. (jerry takes a huge ring with hundreds of keys on it out of his drawer, and hands it to kramer. kramer begins going through them.) new scene at the coffee shop. kramer is now giving the huge keyring to george."
10237,"george: gee, kramer, i uh...i don't know what to say."
10238,"kramer: say yes! yes, george. yes!"
10239,"george: should i give you my keys, is that the transaction, trading keys...? because elaine has my keys."
10240,"kramer: well, you can get 'em back."
10241,george: i suppose i could.
10242,"kramer: because you see, george, having the keys to jerry's apartment? that kept me in a fantasy world. every time i went over to his house, it was like i was on vacation. better food, better view, better tv. and cleaner? oh - much cleaner. that became my reality. i ignored the squalor in my own life because i'm looking at life, you see, through jerry's eyes. i was living in twilight, george. living in the shadows. living in the darkness...like you."
10244,"kramer: oh, yeah. i can barely see you, george."
10245,"george: alright, stop it kramer, you're freakin' me out. (the waitress comes over.)"
10246,"waitress: hi, are you ready to order? (george tries to order, but kramer interrupts.)"
10247,kramer: do you ever yearn?
10248,george: yearn? do i yearn?
10249,kramer: i yearn.
10250,george: you yearn.
10251,"kramer: oh, yes. yes, i yearn. often, i...i sit...and yearn. have you yearned?"
10252,"george: well, not recently. i craved. i crave all the time, constant craving...but i haven't yearned."
10253,kramer: look at you.
10254,"george: aw, kramer, don't start..."
10255,kramer: you're wasting your life.
10256,"george: i am not! what you call wasting, i call living! i'm living my life!"
10257,"kramer: o.k., like what? no, tell me! do you have a job?"
10259,kramer: you got money?
10261,kramer: do you have a woman?
10263,kramer: do you have any prospects?
10265,kramer: you got anything on the horizon?
10266,george: uh...no.
10267,kramer: do you have any action at all?
10269,kramer: do you have any conceivable reason for even getting up in the morning?
10270,george: i like to get the daily news!
10271,"kramer: george, it's time for us to grow up - and be men. not little boys."
10273,"kramer: i'm goin' to california. you know, i got the bug."
10274,"george: yeah, i think i got a touch of something, too."
10275,"kramer: no, the acting bug. ever since i was in that woody allen movie."
10276,"george: ""these pretzels are making me thirsty""? that was one line! you got fired!"
10277,"kramer: i know, i know, but man! i never felt so alive! now, are you coming with me?"
10278,"george: uh, no, i'm not."
10279,"kramer: alright, suit yourself. but let's keep this between us - we're key brothers now. (gets up to leave.)"
10280,"george: you're not really gonna go to california, are you?"
10281,"kramer: up here, i'm already gone. (kramer exits.) new scene, elaine's apartment at night. george is picking up his spare keys from elaine."
10282,"george: anyway, so he gave me his spare keys, now he wants to have my keys, so i need mine back from you."
10283,elaine: just 'cause you have his keys? why does he need yours?
10284,"george: i don't know. he said he wants to be my ""key brother."""
10285,elaine: that's ridiculous.
10286,george: that's kramer.
10287,elaine: i'll give you back your spare keys - but now i want mine back.
10289,elaine: 'cause. i'll give 'em to jerry.
10290,george: jerry? why?
10291,elaine: 'cause he gave me his.
10293,"elaine: so, if he has my keys, i should have his."
10294,"george: well, i don't see why if you have his, he should have yours."
10295,elaine: i just said the same thing to you.
10298,"george: alright, listen, i'll give you your spare keys, but i don't have them with me. can i please have mine to give to back to kramer?"
10299,"elaine: yeah, o.k. i'll go get 'em. (george begins to leaf through papers on elaine's counter.) what are you doing? would you just put that down? (takes the papers away from george.) i gotta get some new friends. new scene, jerry's apartment the next day."
10300,jerry: did you bring the keys?
10301,"george: yes, but i still don't feel right about letting you into kramer's apartment without his permission."
10302,jerry: this could be an emergency!
10303,george: you never should have taken away his keys!
10304,"jerry: i tried to give 'em back, he wouldn't take 'em. (jerry and george go out into the hallway to kramer's apartment.)"
10305,george: how'd the mets do?
10306,jerry: they lost. (jerry and george open kramer's door and poke their heads in.)
10307,jerry: kramer? (newman walks up behind them.)
10308,"newman: hello, boys."
10309,"jerry: hello, newman."
10310,newman: you lookin' for someone?
10311,"jerry: don't play coy with me, newman, i'm not in the mood!"
10312,newman: coy? i'm not being coy.
10313,jerry: is he being coy?
10314,"george: yeah, coy."
10315,"jerry: you're being coy. now where's kramer, newman?"
10317,"jerry: listen, tiny. i wanna know where kramer is and wanna know now!"
10318,"newman: alright, go ahead and hit me, seinfeld. i got witnesses."
10319,"jerry: turn around, george."
10320,george: sure. (turns around.)
10322,"jerry: now, you better tell me where kramer is, or are we gonna have to do this the hard way? (hits wall with his fist.)"
10323,newman: help! help!
10324,jerry: where's kramer?
10325,newman: help! (elaine enters.)
10326,elaine: what's going on? (newman grabs elaine and hides behind her.)
10327,newman: they're gonna beat me up!
10328,george: no we're not.
10329,jerry: we're trying to find out what happened to kramer.
10330,"newman: you wanna know what happened to kramer? i'll tell you what happened to kramer. he was ticked off. about the keys. yeah, that's right - about the keys. thought he got a bad rap."
10331,jerry: bad rap?
10332,newman: yeah. from you.
10334,newman: you heard me. so he packed it up and split for the coast. la-la land. l.a.
10335,"jerry: i never should have taken his keys away. but he drove me to it! i had no choice! he wouldn't take 'em back. elaine, you saw it, remember? i said, 'take the keys back.' he wouldn't do anything. you saw it, didn't you see it?"
10336,"elaine: yeah, yeah, i saw it. (mutters under her breath) i mean, it's complete bullsh*t."
10338,elaine: what...?
10339,"jerry: no, what'd you say?"
10340,elaine: nothing. i didn't say anything.
10341,"jerry: oh, you didn't see it."
10342,"elaine: yeah, i saw it. i saw it! i did, i saw it. yep."
10343,"jerry: i heard you say something, there."
10345,"jerry: i'm calling kramer's mother. (picks up the phone, dials.) (to elaine) i don't know what you said. but it was something. i heard something. hello? hello, mrs. kramer? mrs. kramer? could you turn the music down? could you turn the music down!"
10346,george: ask her about kramer.
10347,"jerry: she's drunk out of her mind. (cut back to kramer with his car broken down on the side of the highway. he tries to thumb a ride.) new scene, jerry approaching his apartment door. he tries to unlock it, but realizes elaine has his keys. jerry goes to the coffee shop to call elaine."
10348,"jerry: elaine? are you there? it's me, i'm locked out of my apartment, i need my spare keys. where are you? i'm at the coffee shop. new scene. kramer's managed to hitch a ride on the back of a motorcycle."
10349,kramer: hey! you ever been in an accident?
10350,"jerry: georgie boy! way to come through with the keys! sit down, i'm buying you dinner."
10351,"george: look, i gotta tell ya...i been thinkin' about it, i just don't feel right about letting you into elaine's apartment."
10352,jerry: don't feel right? what are you talking about?
10353,"george: well, you know, i shouldn't have let you into kramer's, now you want to go into elaine's...she entrusted me with her spare keys, how can i just let you in?"
10354,jerry: what is the big deal?
10355,"george: just because you have someone's spare keys, it doesn't entitle you to break into their apartment. that's the reason you took away kramer's keys."
10356,"jerry: first of all, you're not even supposed to have elaine's keys. you're supposed to give 'em back to her, so she can give 'em back to me, because she has mine. so technically, those are my keys."
10357,"george: yes, well, if you had never taken your keys back from kramer, he never would have taken his back from you and given 'em to me, in which case i wouldn't have had to take mine back from her."
10358,"jerry: well, i want those keys. (tries to grab the keys from george.)"
10359,"george: nope, no can do."
10360,"jerry: george, give them to me, i want these keys. (they struggle over the keys.) i don't want to get physical!"
10361,george: do you wanna fight?
10363,"george: i'll fight ya! not the face! not the face! (the struggle continues.) new scene. kramer's managed to hitch another ride, this time with a van full of drugged-out hippies. kramer is telling them a story as they go down the road..."
10364,"kramer: and then, the evil ogre took back the magical keys from the handsome young prince."
10365,"kramer: yes! and then the handsome young prince was cast out into the cruel, cruel world."
10366,"kramer: oh, he's cold."
10367,"kramer: yeah, yeah...that'd be funny. (to driver) hey, you can drop me here!"
10368,"kramer: well, you know, i gotta be goin' now."
10369,"kramer: what do you think, junior? you think these hands have been soakin' in ivory liquid? (mimics choking somebody)"
10370,"jerry: don't you see? you're just avoiding the middle man. you were gonna give her her spare keys, so she was gonna give 'em to me. so, all that's happening is that instead of giving them to her, you're giving them to me. it's just unfortunate that when she gave you yours, you didn't give her hers. 'cause then she would have given 'em to me, because she has mine. so then i would have never had to ask you for hers, so that i could get mine."
10371,"george: you're right, how did i miss that? (begins unlocking the door, mutters under his breath) maybe because it's a crock of sh*t."
10374,jerry: i heard something.
10375,"george: didn't say anything. (they go into elaine's apartment.) new scene. kramer's managed to hitch yet another ride, this time with a woman driving an eighteen-wheeler."
10376,"kramer: so, how long you been drivin' this thing?"
10377,woman: goin' on four years.
10378,"kramer: well, nothin's sexier than a woman behind the wheel of a semi."
10379,"woman: nothin'? (they exchange a glance, then laugh.) listen to you, you're quite the sweet-talker."
10380,"kramer: you know, i always wanted to drive the big rigs. i used to watch those commercials during the reruns of gomer pyle."
10381,woman: you want to give it a try?
10383,woman: do you know how to double-clutch?
10385,"woman: well, come on! (they trade places and kramer gets behind the wheel. kramer turns out to be really rusty on the ol' double-clutch.) new scene, jerry and george in elaine's apartment looking for jerry's spare keys."
10386,"george: they were in here, i saw her put 'em in here!"
10387,"jerry: well, this is great."
10388,"george: well, what do they look like?"
10389,"jerry: they look like keys, george. they look exactly like keys. (in disgust) ""what do they look like."""
10390,"george: well, they're obviously not here."
10391,"jerry: well, they've gotta be here somewhere."
10392,"george: jerry, unless i pull down on this statuette and a hidden wall opens up, we have checked every square inch of this apartment!"
10393,"jerry: what is this? ""murphy brown""?"
10395,jerry: by elaine benes?
10397,"jerry: elaine's writing a ""murphy brown""?"
10398,george: lemme see this. (tries to grab the papers.)
10399,jerry: wait a second! (they fight over the paper.)
10400,george: gimme half!
10401,"jerry: all right, here!"
10402,george: why didn't she tell us?
10403,jerry: elaine is writing a sitcom...! (elaine enters the room behind jerry and george. jerry spots her and tosses his half of the script at george. george throws it back and paper goes flying everywhere.)
10404,elaine: you weasels!
10406,elaine: how dare you!
10407,george: we hardly read anything!
10408,jerry: it was funny!
10409,elaine: who gave you permission to come into my house and just go through all my things? you thought it was funny?
10410,jerry: well... (picks up some of the pages) from what i saw...
10411,"elaine: well, it's just a first draft!"
10412,"jerry: i was locked out of my apartment, i'm just trying to get my keys."
10413,elaine: why did you let him in?! (shoves george.)
10414,george: he forced me to!
10415,jerry: i did not!
10416,george: yes you did!
10417,elaine: you! get out! get out! get out!
10418,"jerry: elaine, wait! i need my spare keys!"
10419,"elaine: here! here's your damn keys, you keep 'em! i don't want 'em anymore!"
10420,jerry: good!
10421,elaine: and i want my keys back from you!
10422,"george: what, you don't want me to hold your keys?"
10423,"elaine: no, you can't be trusted!"
10424,"george: alright, alright, fine. (gives the keys to elaine.)"
10425,jerry: and i don't want you to hold mine!
10426,elaine: good! i won't!
10427,jerry: good! don't! are these my keys?
10428,elaine: these aren't my keys!
10429,george: whose are these?
10430,"elaine: i don't know! (meanwhile, kramer's finally made it to los angeles. he's shown roller-skating through traffic, and nearly running over some guy on a scooter.) commercial break. new scene, jerry and elaine watching ""murphy brown"" in jerry's apartment."
10431,elaine: i just thought i could write it.
10432,jerry: is that something you want to do?
10433,elaine: i don't know. those writers make a lot of money.
10434,"jerry: elaine, let me tell you something about show business. it's hard work! you don't just write a ""murphy brown."" you gotta watch the show, study it, get a sense of the characters, how they relate to each other."
10435,"elaine: o.k., can i just watch the show? (mutters under her breath) god, what an asshole."
10438,"jerry: i heard something. (looks at the tv) elaine, elaine! it's kramer! kramer's on ""murphy brown""!"
10439,"elaine: kramer's on ""murphy brown""!"
10440,"jerry: look, there he is, he's sittin' at the desk! (cut to the screen of jerry's tv.)"
10441,"kramer: oh, good morning, miss brown."
10442,"kramer: oh, i'm uh, steven snell."
10443,kramer: steven.
10444,kramer: oh - i'm familiar with it.
10445,george: kramer was on murphy brown?
10449,"george: murphy brown, the tv show."
10450,"jerry: c'mon, will ya?"
10451,george: kramer was on murphy brown? that son of a gun!
10452,"jerry: something, isn't it?"
10453,george: with candace bergen!
10455,george: i've always liked her. remember her in 'carnal knowledge'?
10457,george: did she show her breasts in that?
10458,jerry: she's not really the naked type.
10459,george: i can't believe i missed kramer. you know he asked me to go with him to california.
10460,jerry: he did?
10461,"george: yeah, i turned him down."
10462,jerry: how come you didn't tell me?
10463,george: he asked me to keep it a secret.
10464,jerry: but you can never keep a secret.
10465,george: i know. this was like a record. my previous record was when joni hirsch asked me not to tell anybody that we slept together. kept a lid on that for about 28 seconds.
10466,"jerry: well, you've come a long way."
10467,george: i've matured.
10468,"jerry: hey listen, the tonight show called me, they want me to come out and do the show on the 28th and they're giving me two free tickets to la. you wanna go?"
10469,george: a free ticket?
10470,"jerry: yeah, in fact we could track down kramer. i always felt bad about the way he left, you know? that was a mess. i never should have taken back those keys."
10471,george: what about accommodations?
10472,jerry: all taken care of.
10473,"george: is there a meal allowance? what about seat assignments? could i have the kosher meal? i hear the kosher meal is good. and i need clothes. gotta get a haircut. gonna have to, i have to refill my allergy medication. oh, do i need a hat? i need a hat, don't i? could we do the universal tour? they have that backdraft exhibit now, that looks very cool to me... kramer, backstage, talking to some aspiring young actors."
10474,"kramer: so my acting technique, my personal acting technique is working with color, imagining color, then finding the emotional vibrational mood connected to the color. see, if you look through my scripts, you'll see that all my lines have a special color, so i don't memorize language, i memorize color. this way i can go through red, yellow, green, blue. and i have a full palette of emotions."
10475,"kramer: uh, did you?"
10476,"kramer: well, i was just--"
10477,"kramer: alright, we'll talk about this a little later. are you an actor? kramer's apartment building in la. singers and actors are heard practicing in the background. kramer leaves his apartment and makes a call on the pay phone in the hall."
10478,voice: murphy brown.
10479,"kramer: uh, yeah, uh, candace bergen please."
10480,voice: who's calling please?
10481,"kramer: well, just tell her that it's kramer. dial tone."
10482,"kramer: alright i'll uh, i'll call her at home. (to man waiting behind him) go ahead, it's all yours. helena, a neighbor, steps into the hallway."
10483,helena: hello kramer.
10484,"kramer: oh, uh, helena, how are you?"
10485,"helena: i haven't worked since 1934, how do you think i am?"
10486,"kramer: well, that's only uh, 58 years."
10487,"helena: it was a three stooges short, ""sappy pappy."" i played mr. sugarman's secretary, remember?"
10488,"kramer: yeah, right, right, yeah, yeah, that was a shemp, right?"
10489,"helena: no, a curly. the boys played three sailors who find a baby, the baby's been kidnapped and the police think that they did it."
10490,"kramer: uh huh, right."
10491,"helena: but, but of course they didn't do it, the police had made an awful mistake."
10493,"helena: moe hits curly with an axe,"
10495,"helena: the stooges catch the kidnappers,"
10497,helena: but it's too late.
10499,helena: the baby's dead.
10501,helena: the boys are sent to death row and are executed.
10502,kramer: well i don't remember that part.
10503,helena: i play mr. sugarman's secretary.
10504,"kramer: oh, yeah, yeah, you were, you were very good."
10505,"helena: yeah, it was sad for a three stooges, what with the dead baby and the stooges being executed and all."
10506,"kramer: well, that was an unusual choice for the stooges."
10507,"helena: would you like to buy me a fat-free frozen yogurt at the store, kramer?"
10508,"kramer: uh, well, uh, you know i can't right now, you know, uh, i got a very big meeting, i got these people interested in my movie treatment. so, uh, i guess we'll have to make it another time, alright?"
10509,"kramer: helena, you're wrong, you know i'm not that sensitive at all."
10510,helena: i was engaged to mickey rooney! he left me at the altar. kramer! kramer! jerry's apartment. george walks in with several stuffed suitcases and backpacks.
10511,jerry: what is this?
10513,"jerry: we're going on a two day trip, what are you, diana ross?"
10514,george: i happen to dress based on mood.
10515,jerry: oh. but you essentially wear the same thing all the time.
10516,"george: seemingly. seemingly. but within that basic framework there are many subtle variations, only discernable to an acute observer, that reflect the many moods, the many shades, the many sides of george costanza."
10517,jerry: (referring to george's outfit): and what mood is this.
10518,george: this is morning mist. a murder scene. there's a body under a blanket and two lieutenants are talking.
10519,lt. martel: close enough.
10520,lt. martel: no id?
10521,lt. martel: no witnesses?
10522,lt. martel: she was. not any more. somebody saw to that.
10523,"lt. martel: i don't know, but i don't like it. jerry and george are at the airport, in line for the metal detector."
10524,"jerry: look at this guy, he's like a cat burglar. he thinks if he goes through real slow the machine won't detect him."
10525,george: personally i'm a little nervous about going through these things. i'm afraid i'm gonna step through into another dimension.
10526,jerry: just go. george braces himself and walks through the detector.
10527,"george: heh he, i made it. jerry walks through and the machine beeps."
10528,"security guard: empty your pockets please. jerry empties his pockets and walks through again, the machine beeps again."
10529,"security guard: walk through again please. jerry walks through, the machine beeps again."
10530,security guard: are you sure you don't have any metal on you? bracelets? rings? anklets?
10531,jerry: anklets?
10532,security guard: a lot of men wear anklets.
10535,george: my bag?
10536,security guard: step over here please.
10537,jerry: over here?
10538,george: a knife?
10539,george: moisturizer?
10540,"george: no, i uh... i use it."
10541,security guard: spread your arms and legs please. the security guard begins waving a small beeping detector up and down jerry's body.
10542,"jerry: ladies and gentlemen, i implore you."
10543,"security guard: alright, go ahead."
10545,security guard: that's it.
10547,"george: c'mon jerry, let's go. what was that all about?"
10548,jerry: i must have iron rich blood.
10549,"george: here we go, la."
10550,"jerry: the coast,"
10551,"george: la-la land. i got the window seat, right?"
10553,george: i called it.
10554,"jerry: oh no. monologue, jerry on stage. seems to me that the closest thing we have to royalty in america are the people that get to ride in those little carts through the airport. don't you hate these things? they come out of nowhere; beep beep, cart people, look out, cart people! look out! we all scurry out of the way like worthless peasants. oooh! it's cart people! i hope we didn't slow you down. wave to the cart people, timmy, they're the best people in the world. ya know, if you're too fat, slow and disoriented to get to your gate on time, you're not ready for air travel. the other people i hate are the people that get on to the moving walkway and then just stand there. like it's a ride? excuse me, there's no animated pirates or bears along the way here. do your legs work at all? stock photo of the hollywood sign. cut to a casting office. kramer enters."
10555,"kramer: yeah, i'm here for the audition."
10556,"receptionist: which audition, the music video, the horror movie, the exercise tape or the infomercial?"
10557,"kramer: uh, let's see... well. cut to a montage of kramer in group auditions for the productions the receptionist mentioned. kramer and chelsea, a woman he met in the horror movie audition, exit the casting office."
10558,kramer: you scream good.
10559,"kramer: oh yeah, yeah, i got 20 copies."
10561,kramer: um-hm.
10562,"kramer: wait wait, hold it, hold it. look who's over there. don't look, don't look! it's fred savage."
