,character,line
240,KRAMER,"Oh,"
241,TINA,"Kramer, (dancing in the dark to the music)"
242,TINA,Here Kramer?
243,KRAMER,"No, lets go to the couch... (sound of smashing glass) Jerry's Apartment"
244,JERRY,"(on phone)Yes, I'm trying to get a copy of a receipt for a computer thatI bought there.... it was 1987 ... I remember I talked to a guy - he had like a maroon sport jacket - and he might have had a toupee - oh, it was a weave - ok uh, then I'll come bye ok, bye."
245,JERRY,Anybody want to take a walk down to 48th street? I think I may have tracked down another receipt.
246,ELAINE,I can't. I have to go visit Tina in the hospital.
247,JERRY,George?
248,GEORGE,"I'm going to a poetry reading with PATRICE: First time poets, in a burnt out building, down by the docks, Supposed to be good. (Kramer enter - all bandaged up."
249,KRAMER,"Hey, Are you going to the hospital now?"
250,ELAINE,"Yeah, I suppose I am."
251,KRAMER,"All right, great, great uh, we'll share a cab."
252,JERRY,You're going by 48th St. You can give me a ride.
253,GEORGE,"Hey, I'm getting in on that."
254,ELAINE,You know you're chippin' in.
0,JERRY,"I have never seen an old person in a new bathing suit in my life. I don't know where they get their bathing suits, but my father has bathing suits from other centuries. My parents live in Florida, and if you go down there and you forget your bathing suits then they want you to wear one of theirs. You know how that gets? ""You need trunks son? I've got trunks for you. You can wear my trunks."" Fathers don't wear bathing suits, they wear trunks. It's kind of the same thing a tree would wear if it went swimming. So I get in the water with in thing and it's like floating around me somewhere. Did you ever put on a bathing suit that you don't even know exactly where you are inside the bathing suit? You bump into somebody you know: ""No I'm parasailing, I'm waiting for the boat to come back."" (Florida, evening, condo of Jerry's parents)"
1,HELEN,(looking by the window) They were supposed to be here at 7:30. Call the airlines again.
2,MORTY,(searching in a kitchen drawer) What happened to the scotch tape? Who takes the scotch tape? Nobody returns anything around here.
3,HELEN,Oh I think that's them!
4,MORTY,You what I'll do next time? I'll hide it so nobody can find it. (Jerry and Elaine enter)
5,ALL,"Hi, welcome, greetings, hugs, etc."
6,MORTY,Welcome to Florida!
7,ELAINE,Hi Mr. Seinfeld! (hug)
8,JERRY,"Hey, there's the old man! (hug)"
9,MORTY,"So, what took you so long?"
10,JERRY,We waited 35 minutes in the rent-a-car place.
11,HELEN,I don't know why you had to rent a car. We would have picked you up.
12,JERRY,What's the difference?
13,HELEN,You could have used our car.
14,JERRY,I don't wanna use your car.
15,HELEN,What's wrong with our car?
16,JERRY,Nothing. It's a fine car. What if you wanna use it?
17,HELEN,We don't use it.
18,MORTY,What are you talking? We use it.
19,HELEN,"If you were using it, we wouldn't use it."
20,JERRY,So what would you do? You'd hitch?
21,HELEN,How much is a rent-a-car?
22,JERRY,I don't know. 25 bucks a day.
23,HELEN,What? You're crazy.
24,MORTY,Plus the insurance.
25,JERRY,"Oh, I didn't get the insurance."
26,MORTY,How could you not get the insurance?
27,HELEN,We'll pay for the car.
28,JERRY,You're not paying for it.
29,HELEN,Morty. (asking him to back her. He doesn't)
30,JERRY,God it's so hot in here. Why don't you put on the air conditioning?
31,HELEN,"You don't need the air conditioner. So, you have your speech all ready?"
32,JERRY,It's not a speech. Do I have to make a speech?
33,HELEN,"Of course, they're giving a testimonial for your father. You could do your comic routines."
34,JERRY,"(ironically) Oh yeah, that will go over real well with that crowd."
35,ELAINE,"(looking by the window) Ooh, you have a lake?"
36,JERRY,The lake isn't real.
37,HELEN,The lake is real.
38,MORTY,Are you kidding? They built the lake.
39,HELEN,But it's real. It's water. (Jerry and Elaine take their luggages to the guest room)
40,HELEN,Where are you going with those?
41,JERRY,I'm gonna put Elaine's stuff in here.
42,HELEN,Don't sleep in there. You can you use the bedroom.
43,ELAINE,I can't take your bedroom.
44,HELEN,I'm up at 6 o'clock in the morning.
45,ELAINE,I can't kick you out of your bed.
46,HELEN,We don't even sleep.
47,JERRY,Ma.
48,HELEN,"But this is sofa bed, you'll be uncomfortable."
49,JERRY,(to Morty) What about you?
50,MORTY,Why should I be comfortable?
51,JERRY,(to Helen) What about him?
52,HELEN,"Don't worry, he's comfortable."
53,MORTY,I'll sleep standing up. I'll be fine.
54,HELEN,Will you stop?
55,ELAINE,"Yeah, I'll just stay in here. (goes in the guest room)"
56,HELEN,(asking Jerry to go in the kitchen so Elaine won't hear) Jerry. You don't have to stay on the couch on my account. The two of you could stay in there together.
57,JERRY,No that's not such a good idea.
58,HELEN,Well I tought that...
59,JERRY,Not now. She's right inside.
60,HELEN,(quieter) What happened?
61,JERRY,I don't know. We decided we don't really work as a couple.
62,HELEN,What does that mean?
63,JERRY,Well...
64,MORTY,(comes to the kitchen and with a loud voice) Why are you whispering?
65,JERRY,"Shh! Nothing, nothing."
66,HELEN,Elaine...
67,MORTY,(still loud) What about her?
68,JERRY,"(tries to explain to Morty but Elaine then comes out of the guest room to get more luggages, so he fakes a conversation) ...but you know, look at the sun-dried tomatoes. Where were they five years ago? It just goes to show you. You never know what... huh (waiting for Elaine to go back in the guest room) you know... huh... What could happen to a vegetable. It could just take right off at any time. (Morty finally gets it. So Jerry goes on quieter) We've tried all kind of arrangments, but we can't seem to be friend when we sleep together."
69,MORTY,(Morty goes on louder! Did he ever whisper in any episode? :-) Why do you need more friends? You've got plenty of friends.
70,HELEN,He's an idealist.
71,MORTY,What the hell are you looking for?
72,JERRY,I'm looking. That's the point. I like looking.
73,HELEN,He likes looking.
74,MORTY,So look.
75,HELEN,But how long can you look?
76,JERRY,I'm going for the record. (Morty walks away with a face like he disagrees with Jerry)
77,HELEN,You know your father wouldn't say so but he's really glad you came.
78,JERRY,"Oh, come on."
79,HELEN,"This is a big thing for him. Outgoing president of the condo association. this is Jack and Doris, neigboors)"
80,MORTY,Aha!
81,DORIS,So they arrived safely.
82,MORTY,(to Jerry) You remember Jack and Doris?
83,JERRY,Nice to meet you. This is Elaine.
84,ELAINE,Hi. Nice to meet you.
85,JACK,"So Jerry, you came all the way down here for this?"
86,ELAINE,And scuba diving.
87,HELEN,Scuba diving? Who's going scuba diving?
88,JERRY,We're going scuba diving. We'll be back in time.
89,HELEN,What do you have to go scuba diving for?
90,JERRY,For fun.
91,HELEN,For fun?
92,MORTY,Jack have some spong cake.
93,JACK,"No. thanks, no."
94,MORTY,Jack is emceeing tomorrow. He's in charge of the whole thing.
95,JACK,"So Jerry, your mother told me you're gonna do one your little comedy skit tommsorow?"
96,JERRY,I don't think so.
97,JACK,No? Listen Morty you wanna settle up for last night? (Morty nods) All right. I owe you 19.45$ (he gets his checks book and a pen from his pocket).
98,MORTY,What did you have? You had the minute steak?
99,JACK,Yeah.
100,MORTY,Did you have a coke or what?
101,JACK,I did NOT have a coke.
102,MORTY,Somebody had a coke.
103,HELEN,Oh I had a coke.
104,DORIS,And I had the scampi.
105,JACK,So that's 17.10$ and the tax and the tip.
106,MORTY,All right. Make it 20 bucks.
107,JACK,"It's: 19.45$, Morty. (he gives him the check)"
108,JACK,"See? You know your father. He can't get a write to the penny, but that's why he was such a good president. (Jerry notices Klompus's pen)"
109,JERRY,What kind of pen is that?
110,JACK,This pen?
111,JERRY,Yeah.
112,JACK,This is an astronaut pen. It writes upside down. They use this in space.
113,JERRY,Wow! That's the astronaut pen. I heard about that. Where did you get it?
114,JACK,Oh it was a gift.
115,JERRY,Cause sometimes I write in bed and I have to turn and lean on my elbow to make the pen works.
116,JACK,Take the pen.
117,JERRY,Oh no.
118,JACK,Go ahead.
119,JERRY,I couldn't
120,JACK,"Come on, take the pen!"
121,JERRY,I can't take it.
122,JACK,Do me a personal favor!
123,JERRY,"No, I'm not..."
124,JACK,Take the pen!
125,JERRY,I cannot take it!
126,JACK,Take the pen!
127,JERRY,Are you sure?
128,JACK,Positive! Take the pen!
129,JERRY,"O.K. Thank you very much. Thank you. Gee, boy!"
130,HELEN,"Jack, what are you doing?"
131,JACK,Stop it!
132,DORIS,"Jack, we should go. (they go to the door) It was nice to meeting you."
133,ELAINE,"Mmm, nice to meet you."
134,JERRY,Thanks again.
135,JACK,Come on!
136,DORIS,(to Morty) She's adorable. (they leave)
137,HELEN,(as soon as the door's closed) What did you take his pen for?
138,JERRY,What he gave it to me.
139,HELEN,You didn't have to take it.
140,MORTY,Oh my God! She's gotta make a big deal out of everything.
141,JERRY,He offered it to me.
142,HELEN,Because you made such a big fuss about it.
143,JERRY,I liked it. Should I have said I didn't like it?
144,HELEN,You shouldn't have said anything. What did you expect him to do? (the camera shows Elaine shaking her head at their dispute)
145,JERRY,"He could have said: ""Thank you, I like it too"" and put it back in his pocket."
146,HELEN,He loves that pen.
147,MORTY,Oh come on!
148,HELEN,"He talks about it all the time. Every time he takes it out he goes on and on about how it writes upside down, how the astronauts use it."
149,JERRY,"If he likes it so much, he never should have offered it."
150,HELEN,He didn't think you'd accpet.
151,JERRY,"Well, he was wrong."
152,HELEN,I know his wife. She has some mouth on her. She'll tell everyone in the condo now that you made him give you the pen. They're talking about it right now. (againe we see Elaine smiling at their argument)
153,JERRY,So you want me to return it?
154,HELEN,Yes.
155,MORTY,He's not gonna return the pen. That's ridiculous.
156,JERRY,Hey I don't even want the pen now!
157,MORTY,"Jack can afford to give away a pen with all his money. Believe me. He gives me a check for 19.45. He didn't have a Coke. Ho, ho, ho!"
158,ELAINE,"Here, let me see it. (She takes a pad to try the pen) Hey, it wrtites upside down. (scene ends) (condo's guest room) (Elaine is lying on the sofa bed. It's too hot. She can't fall asleep) (knock on door)"
159,ELAINE,Come in.
160,JERRY,Are you O.K. in here?
161,ELAINE,Why is it so hot in here? How can they sleep like this?
162,JERRY,"It's only for three days. Today's over and we have tommorow. We leave on Sunday. It's one day, really."
163,ELAINE,Oh man. What is with this bar? It's right in my back. It's killing me.
164,JERRY,Oh you wanna switch? I'm sleeping on a love seat. I've got my feet up in the air like I'm in a space capsule.
165,ELAINE,I am never gonna fall asleep.
166,JERRY,"Oh, don't say that. You'll jinx me."
167,ELAINE,How can they not put the air conditioning on?
168,JERRY,They're nuts with temperature.
169,ELAINE,This bar is right in my back! It's making a dent.
170,JERRY,How about that guy writing a check for
171,ELAINE,"I'm sweating here. I'm in bed, sweating."
172,JERRY,"It's one day. Half a day, really. I mean you substract showers and meals, it's like twenty minutes. It will go by like that. (snapping his fingers) (scene ends) (condo, morning) (Jerry and Morty are sitting at the table, Helen is at the counter. Elaine's still sleeping? Well, she's still in the guest room.)"
173,MORTY,"Stay on 95 South to Biscayne Boulevard. Then you make a left turn. Put you blinker on immediatly, there's an abutment there. Then you're gonna merge over very quickly, but stay on Biscayne. Don't get off Biscayne. You understand me?"
174,JERRY,Stay on Biscayne.
175,HELEN,You're going underwater?
176,JERRY,Yes. Generally that's where scuba diving is done.
177,HELEN,What do you have to go underwater for? What's down there that's so special?
178,JERRY,What's so special up here? (Elaine open the guest room's door and she's in pain)
179,ELAINE,Oh! (everybody get up and walk to her)
180,HELEN,What's the matter?
181,ELAINE,My back.
182,HELEN,What happened?
183,ELAINE,That... That bed. The bar was right in my back.
184,HELEN,(to Jerry) I told you to let us sleep in there.
185,JERRY,Then YOU would be hunched over.
186,ELAINE,I don't even know if I can go scuba diving.
187,JERRY,You can't go?
188,HELEN,So stay home.
189,ELAINE,You can go.
190,JERRY,Without you? That's the whole reason you came down here.
191,HELEN,Don't go.
192,JERRY,You sure?
193,MORTY,Maybe you should see a doctor.
194,JERRY,We'll stay in a hotel tonight.
195,ELAINE,(whispering to Jerry) Yes!
196,HELEN,"No, we'll stay in there."
197,JERRY,Why don't you get a new sofa?
198,MORTY,Nobody uses it.
199,JERRY,I'm buying you a new sofa.
200,HELEN,"Oh Jerry, don't talk crazy."
201,ELAINE,"Mrs Seinfeld, please. I am begging you. Put the air conditioner on."
202,HELEN,You're hot?
203,ELAINE,I've lost 6 pounds.
204,HELEN,I don't even know how to work it.
205,MORTY,"I keep telling her it's like an oven in here. (Evelyn, a neighboor, enters)"
206,EVELYN,Is everybody up?
207,JERRY,Hi. How are you?
208,EVELYN,Hello Jerry.
209,JERRY,"Evelyn, this is Elaine."
210,ELAINE,(with pain) Hi Evelyn.
211,EVELYN,Jerry you got thin.
212,JERRY,Too thin?
213,HELEN,Oh stop worrying so much about how you look.
214,EVELYN,So where's the new pen? (everybody's surprised by this question)
215,JERRY,(Jerry scratches his head and acts like he's not sure what she's talking about) What?
216,EVELYN,The pen. The one Jack Klompus gave you.
217,HELEN,How did you know that?
218,EVELYN,Blanche told me.
219,HELEN,Blanche?
220,EVELYN,That's some good pen. It writes upside down.
221,ELAINE,The astronauts use them.
222,HELEN,What did Blanche say?
223,EVELYN,I don't know. She said Jerry wanted the pen.
224,JERRY,I never really wanted the pen.
225,MORTY,He gave him the pen.
226,HELEN,Morty.
227,EVELYN,Why you don't like the pen?
228,JERRY,"No, no, I..."
229,EVELYN,"Cause if you don't like it, give it back to him."
230,HELEN,Is that what she said?
231,EVELYN,Who?
232,HELEN,Blanche.
233,EVELYN,"What are you talking about? (The phone rings, Helen answers.)"
234,HELEN,Hello? Oh hello Gussy. What? Jerry wouldn't do that. Jack gave it to him. All he said was he liked it. I mean nobody put a gun to his head. (to Jerry) You're giving him back that pen. (She continues the discussion with Gussy but we don't hear it.)
235,ELAINE,Somebody please-- THE AIR CONDITIONER!
236,MORTY,(Morty gets up) Oh! I forgot all about it. (the phone conversation is over. Helen looks at Jerry.)
237,JERRY,"All I said was ""I like the pen"". (Morty looks at the control panel for the air conditioner)"
238,MORTY,"How the hell do you work this thing? (scene ends) (still the condo, later) (Jerry's gone scuba diving. Elaine is lying on the floor with pillows under her legs. Morty and Helen are on the couch, looking at Elaine. Helen is wearing a sweater and she's freezing)"
239,HELEN,Maybe you shouldn't go tonight.
240,ELAINE,"No no, I wanna go."
241,HELEN,But your back hurts.
242,MORTY,Maybe a couple of muscle relaxers would help.
243,ELAINE,"Oh, oh, O.K. (Helen holds her sweater tight against herself) You can turn down the air conditioning if you want."
244,HELEN,No. I'm fine.
245,ELAINE,You're not too cold?
246,HELEN,No. (Jerry enters with a black eye)
247,JERRY,Don't be alarmed.
248,MORTY,Oh my God! What the hell happened to you?
249,JERRY,I'm O.K. My capillaries burst.
250,HELEN,Your capillaries? Do you know what you look like?
251,JERRY,(to Elaine on the floor) How are you doing?
252,ELAINE,Having a good time!
253,JERRY,Is it my imagination or is it freezing in here?
254,HELEN,What happened to your eyes?
255,JERRY,Well I started to go under...
256,HELEN,With the instructor?
257,JERRY,"Yeah, and I got about ten feet down and I felt this tremendous pressure on my mask. Like my eyeballs were being sucked out of their sockets."
258,HELEN,"I told you... (Jack enters, all dressed-up, smoking a cigar)"
259,JACK,Excuse me. (to Helen) Doris would like to borrow red your pocketbook to go with her shoes. (to Elaine on the floor) The shoes have to match the pocketbook. (to the others) What's she doing? Yoga?
260,ELAINE,My back hurts.
261,JACK,Morty you gotta hurry up. Get ready.
262,MORTY,We got plenty of time.
263,JACK,(to Jerry) What happened to you?
264,JERRY,I got in a fist fight with one of the ladies at the pool.
265,HELEN,It's from scuba diving.
266,JACK,What's there to see underwater? give him back the pen)
267,JERRY,"Listen M. Klompus, it was really a nice gesture of you to give me the pen, but I don't really need it."
268,JACK,You what?
269,JERRY,"I mean it's a terrific pen, but I think you should keep it. (he tends the pen to Jack)"
270,JACK,Well I mean...
271,JERRY,Take it.
272,JACK,All right! (he smiles and take it) (Morty gets up and walks right to Jack)
273,MORTY,"You know Jack, you've got a hell of a nerve taking that kid's pen."
274,JACK,Whose pen?
275,MORTY,His pen.
276,JACK,This happens to be my pen.
277,MORTY,You didn't give it to him.
278,JACK,What are you talking about? He pratically begged me for it.
279,MORTY,Where do you come off with this crap?
280,JACK,"Listen, do you think I take everything everybody offers me? You offered me sponge cake yesterday. Did I take it?"
281,MORTY,You said you didn't want it!
282,JACK,Of course I wanted it! I love sponge cake!
283,MORTY,Then who the hell said you couldn't have any? I mean what the hell do I care whether you have sponge cake? (Jerry and Elaine can't beleive what they're hearing)
284,JACK,Because I saw the look on your face last week when I took the scotch tape!
285,MORTY,Ahh! Ahh! So YOU got the scotch tape! I've been looking all over for it!
286,JACK,Don't worry about it! I'll give it back!
287,MORTY,I don't want it!
288,JACK,I don't want it!
289,MORTY,"You know Jack, do me a favor will you? Take the pen and the scotch tape, and get the hell out of here!"
290,JACK,Listen do you think I give a damn?
291,MORTY,Aah! (Jack leaves) The nerve of that guy! Taking back that pen. Well that'it for them.
292,JERRY,What is going on in this community! Are you people aware of what's happening? What is driving you to this behavior? Is it the humudity? Is it the Muzak? Is it the white shoes?
293,HELEN,I have no use for either one of them. I don't even want them there tonight. (she still has the pocketbook in her hands)
294,JERRY,Isn't he supposed to be the emcee?
295,MORTY,"yeah, he's supposed to be the emcee."
296,JERRY,Well. This should be a very interesting evening.
297,ELAINE,"(still on the floor) Uh... What about those muscle relaxers? (scene ends) (reception room, evening) (Morty, Helen, Elaine and Jerry are standing for a photograph in the entrance. Jerry wears sunglasses and Elaine is all drugged-up on muscle relaxers.)"
298,PHOTOGRAPHER,Say astronaut. (Elaine is laughing for nothing and she walks right up to the lens of the camera.)
299,ELAINE,Say what? (laughing) Say what?
300,JERRY,(Jerry brings her back) You took too many of those pills.
301,MORTY,Astronaut?
302,HELEN,Say it.
303,ELAINE,"(still laughing, she says it just as the picture is taking) Astro...naut! (the image frozes and we see that the picture is awful, with Jerry and his sunglasses, and Elaine laughing who can barely stand.)"
304,MORTY,Good. O.K. (the photographer walks away) What about last year when I took him to the hospital every day? Did he ever say thank you?
305,JERRY,Oh God. (foreseeing an arm's grabbing as he sees Uncle Leo entering with his wife Stella)
306,JERRY,(to Leo) Uncle Leo.
307,LEO,Hello!
308,STELLA,Morty are you nervous?
309,MORTY,What nervous?
310,LEO,(to Jerry while he's grabbing his arm as usual) What's with the sunglasses? Who are you? Van Johnson?
311,JERRY,I've got a black eye.
312,STELLA,(to Elaine in a childish voice) Hello.
313,JERRY,"Elaine, this is my aunt Stella."
314,HELEN,(shouting as she imitates Marlon Brando)
315,JERRY,(to Stella) Her back hurts.
316,STELLA,"Humm... We saw you on ""The Tonight Show"" last week."
317,LEO,I thought Johnny was very rude to you. He didn't even let you talk.
318,JERRY,"No, no."
319,LEO,You need some new material. I've heard you do that dog routine three times already.
320,ELAINE,"(still with her imitation, shouting even louder) STELLA! STELLA!"
321,LEO,"Listen, you should get your cousin Jeffrey to write some material for you."
322,MORTY,What are you talking? Jeffrey works for the parks department!
323,LEO,"You should read the letters he's written. He's funnier than the whole bunch of you! (Jack enters with Doris) Oh, here's Jack. We should sit down. (Jack and Morty exchange a look.)"
324,STELLA,"(to Helen on a sarcastic tone of voice) This better be good. I'm missing ""Golden Girls"" for this."
325,HELEN,"(laughing hypocritically till Stella walks away) I hate her like poison. ""Jack let's get started!"" Everyone applause and we see, from left to right, all sitting on the same side of a long table, facing the public: Stella, Leo, Elaine, Jerry, Helen, Morty, Jack at the microphone, Doris, and four other people.)"
326,JACK,"(on the microphone) Ladies and gentlemen, as you know, every year, Phase Two of the Pines of Mark Gables honors the previous year president. And this year we are honoring Morty Seinfeld (the crowd applause and someone yells: Morty!) A man who slept more hours on the job than Ronald Reagan."
327,MORTY,(to Helen) Slept on the job? (she shushed him)
328,JACK,"Being president of the condo is not easy. It requires hard work, dedication, and commitment, and unfortunately he possesses none of these qualities. (everyone laugh except Jerry, Helen, and Morty. Even Elaine who's still druggy)"
329,HELEN,(Morty complains again to Helen) He's joking.
330,JACK,His administration did excel in one department: the hiring of incompetents.
331,MORTY,"(to Jack, loud) That's what you say."
332,JACK,"But we do owe him a debt of gratitude because by not fixing the crack in the sidewalk, he put Mrs Ziven out of commission for a few weeks. (Morty is now the only one not laughing)"
333,MORTY,(loud) Tell them when you took my son's pen back. Tell them about that! (he gets up)
334,JERRY,Dad!
335,MORTY,"(to the crowd) He gave my son a pen, and then he takes it back. Tell them about that!"
336,JACK,He gave it to me!
337,MORTY,"Come on. That's enough, sit down!"
338,JACK,I'm not sitting down! (they start to fight. Morty tries to get the microphone off Jack' hands. He yells to Jack to give him the pen. Jerry gets up and tries to separate them. We hear a feedback from the microphone and they stop to fight)
339,JACK,Ow! You broke my dental plate! (Jack is touching his dental plate while Morty reaches in Jack's pocket to get the pen) Doris! He broke my dental plate. You son-of-a-bitch! I'm gonna sue you. (he leaves the table and Morty follows him and continue arguing with him. Jerry now have the microphone in his hands and the crowd begins to think the ceremony is over.)
340,HELEN,"Jerry, do your act."
341,JERRY,"(in the microphone, but to Helen) I can't. Nobody's even listening."
342,HELEN,They're all gonna leave.
343,JERRY,(to himself) Oh God! (in the microphone) huh... Hey! How you folks doing tonight? (everybody in the crowd is talking over Jerry)
344,MAN IN THE CROWD,Who are you?
345,JERRY,(still with his sunglasses) Have you ever noticed how they always give you the peanuts on the planes?
346,WOMAN IN THE CROWD,(to heckle Jerry) Not my Harry. He flies first class. (Elaine is almost asleep at the table)
347,JERRY,Who ever thought the first thing somebody wants on a plane is a peanut?
348,MAN IN THE CROWD,I'd rather have a bottle of scotch!
349,HELEN,(to Jerry) Do the dog routine.
350,JERRY,All I said was I liked the pen!
351,ELAINE,"(wakes up and yells very loud) STELLA! (Everybody stops talking and put their hands on their ears) (scene ends) (condo, morning) (Elaine is sitting on the couch and a chiro is examining her. Jerry's sitting next to her. Helen is standing beside them and Morty is still asleep in the guest room)"
352,CHIROPRACTOR,You could aggravated. I wouldn't go anywhere for at least five days.
353,ELAINE,Five days? You want me to stay here for five more days?
354,JERRY,There must be some mistake.
355,CHIROPRACTOR,I'm afraid not.
356,ELAINE,(discouraged) Five days. Here.
357,HELEN,"(to Jerry, happily) So we have you for five more days!"
358,JERRY,(to Elaine) Well there's really no point in me staying. I mean you just gonna be...
359,ELAINE,Excuse me?
360,JERRY,Nothing. (Evelyn enters)
361,EVELYN,Good morning.
362,JERRY,Hi Evelyn.
363,EVELYN,(to Helen) Has Morty decided on a lawyer yet?
364,HELEN,I don't think so.
365,EVELYN,Because my nephew Larry could do it. He's a brilliant lawyer. He says Jack has no case.
366,HELEN,I'll ask him when he gets up.
367,EVELYN,"Oh, and I spoke to Arnold. And he says that according to the bylaws of the condo constitution, they need six votes to throw you out for unruly behavior. Not five. Doctor Chernov is the one you'll have to suck up to. (Morty gets up in a bad shape)"
368,MORTY,Aw! Aw! Oh my back! Oh my back! It's that bar. Who the hell could sleep on that thing?
369,HELEN,I was very comfortable.
370,EVELYN,"Morty, Arnold says they need six votes to throw you out."
371,HELEN,It's in the constitution.
372,MORTY,(to the chiro) Who are you?
373,CHIROPRACTOR,I'm a chiropractor.
374,MORTY,What are you kidding me?
375,ELAINE,(to Jerry) Five more days?
0,GAVIN,"Travelling, of course, is the best education. Do you know last year I was in over forty, forty-five countries, and I would have gone to more but I had just got a puppy, and he was too young to take with me. But now I won't travel without him."
1,JERRY,Is he on the plane now?
2,GAVIN,"Oh yes. Yes, he's in the, he's in the baggage compartment. I don't know why they won't let him sit up here with me. He's a lot better behaved than most of the dregs you find onboard here. Do you, do you have any pets?"
3,JERRY,"Uh, just my next door neighbor."
4,GAVIN,You're missing out on a relationship that could enrich your life in ways that you never could have thought possible.
5,JERRY,"Howbout picking up their, you know. You find that enriching? Gavin leans back in his seat wearing a pained expression."
6,JERRY,What's the matter?
7,GAVIN,"Oh, I'm feeling a bit queasy. Cut to external shot of the plane in flight, then back into the cabin where flight attendants are tending to Gavin, who is lying on the floor."
8,ATTENDANT #1,"Sir, we're gonna make an emergency landing in Chicago and get you to a hospital."
9,GAVIN,My dog. What about my dog?
10,ATTENDANT #1,"Uh, you have a dog?"
11,ATTENDANT #2,"Do you know anyone on the plane, Mr. Palone? Jerry stares out the window."
12,GAVIN,Jerry?
13,JERRY,Huh? How you feeling?
14,GAVIN,Would you take care of Farfel?
15,JERRY,Farfel?
16,ATTENDANT #2,"It's his dog. We're landing in Chicago to get him to a hospital, could you take his dog to New York?"
17,JERRY,The dog? The dog??
18,GAVIN,I'm sure it's only for a day or two.
19,JERRY,"But, you know, what if, you know?"
20,GAVIN,"Give me your address and phone number, I'll call you."
21,JERRY,"The dog? New scene. Jerry's apartment, he's got all of his furniture up and there's a loud incessant barking coming from the bedroom. Jerry and Farfel are playing 'tug of war' with one of Jerry's sneakers. Elaine is in the kitchen."
22,JERRY,"Let go, Farfel! Let go, gimme that! Gimme the sneaker you stupid idiot! Shut up! (to Elaine) So what would you do?"
23,ELAINE,"Well it's only been three days, I'm sure he's gonna call."
24,JERRY,"STOP IT! SHUT UUUUUUP!!! (to Elaine) Do you believe this? Do you believe what I'm dealing with here, I've got a wild animal in the house! He's deranged, maybe he's got rabies. I can get lockjaw."
25,ELAINE,If only.
26,JERRY,"Look at this place. He's going everywhere, I can't go out of the house at night. I haven't performed in three days. This'll be my first night out of the house since I got back."
27,ELAINE,"Hey, when you walk him, do ya..."
28,JERRY,Do I what?
29,ELAINE,Do you pick it up?
30,JERRY,"Yes, I pick it up."
31,ELAINE,You pick it up?!?
32,JERRY,Well you have to.
33,ELAINE,"Oh, boy would I love to see that."
34,JERRY,"SHUT UP!! Shut up Farfel, stop it! (to Elaine) I don't know what to do. I mean what if I take it to the pound then the guy shows up?"
35,ELAINE,"Maybe you should call the airline, they might know where he is."
36,JERRY,"No, I tried. they don't know anything. (notices Elaine making egg creams) You gotta put the syrup in first."
37,ELAINE,"No, milk."
38,JERRY,"I'm telling you the guy's a drunk, he's probably on a bender."
39,ELAINE,What is a bender anyhow?
40,JERRY,"I don't know, they drink and they bend things at the bar."
41,ELAINE,I can't believe he hasn't called.
42,JERRY,"Two hundred seats on a plane, I gotta wind up next to Yukon Jack and his dog Cujo. Shut up! One more day and you are pound bound! Kramer enters."
43,KRAMER,"Sorry, I can't watch the dog tonight."
44,JERRY,Why?
45,ELAINE,"We're going to the movies, we're gonna see Prognosis Negative."
46,KRAMER,"I can't, I gotta get this Ellen out of my life."
47,JERRY,You're breaking up?
48,KRAMER,"Oh ho ho ho yeah, the sooner the better. I can't wait to do it. You know how there's some people you worry about whether you're going to hurt their feelings? With her, I'm looking forward to it. I'd like to get it on video, watch it in slow motion and freeze frame it. Oh ho, yeah."
49,ELAINE,"Kramer, I don't know how you lasted as long as you did."
50,KRAMER,"Woah, you didn't like her?"
51,ELAINE,"If you could see her personality it would be like one of the Elephant Man exhibits, you know where they pull off the sheet and everyone gasps."
52,JERRY,I can't believe someone hasn't killed her yet.
53,KRAMER,How come you never said anything?
54,JERRY,You can't tell someone how you feel about their girlfriend until after they stop seeing them.
55,KRAMER,I tell you.
56,JERRY,You. I'm talking about people.
57,ELAINE,Are we still going to the movies tonight?
58,JERRY,"No, I can't I gotta watch Farfel, you and George can go without me."
59,ELAINE,Just me and George?
60,JERRY,Sure.
61,ELAINE,But we need you.
62,JERRY,What do you need me for? Jerry's buzzer buzzes.
63,ELAINE,Because... Yeah?
64,GEORGE,Prognosis Negative! Elaine buzzes George into the building.
65,ELAINE,"Because I relate to George through you, we're like friends-in-law. Besides, you said we were gonna see Prognosis Negative together. Can't you just put some newspapers down or something?"
66,JERRY,"No, I can't trust him, he gets insane. I won't enjoy myself. That's right, Farfel, I'm talking about you!"
67,ELAINE,Just me and George alone? George enters.
68,GEORGE,"Let's go, people, let's go! It's Prognosis Negative time, wa ha ha ha!!!"
69,JERRY,I can't go.
70,GEORGE,"Can't go, Why not?"
71,JERRY,Because I have to watch idiot Farfel.
72,GEORGE,I thought Kramer was watching.
73,JERRY,He's breaking up with his girlfriend tonight.
74,GEORGE,"Well so what's the problem, you just put some newspaper down."
75,JERRY,"No, I don't want that smell in the house."
76,GEORGE,You spritz a little Lysol on it.
77,JERRY,"No, it's like BO and cologne, they combine forces into some kind of strange mutant funk."
78,GEORGE,So we're not going?
79,JERRY,Nah. You two go.
80,GEORGE,Oh. You still wanna go?
81,ELAINE,Do you?
82,GEORGE,If you want.
83,ELAINE,It's up to you.
84,JERRY,Go ahead.
