,character,line
6,ELAINE,"(OC) Not only didn't you love her, you didn't even like her."
7,GEORGE,Who says?
8,ELAINE,You did.
9,GEORGE,"Ah, ...A beautiful successful intelligent woman's in love with me and I throw it all away. uh oh boy. Now I'll spend the rest of my life living alone. I'll sit in my disgusting little apartment watching basketball games, eating Chinese take out. Walking around with no underwear. Because I'm too lazy to do a laundry."
10,JERRY,You walk around with no underwear?
11,GEORGE,"Yeah, what do you do when you run out of laundry?"
12,JERRY,I do a wash.
13,GEORGE,"Who am I going to meet who is better than her? No one, Jerry. No one's better than her."
14,JERRY,When you were with her you said you couldn't stand her.
15,GEORGE,I loved her!
16,JERRY,You said goin up the steps of her apartment was like being taken to a cell.
17,GEORGE,I would give anything to be going up those stairs again.
18,GEORGE,I gotta call her. Should I call her?
19,JERRY,"George, I don't know if that is such a good idea?"
20,GEORGE,Whyie?
21,JERRY,You need some professional advice. Why don't you go see Elaine's friend? She's a therapist.
22,GEORGE,I'm not going to see that nut doctor she went to Europe with.
23,JERRY,"No, no no (Elaine enters, flossing teeth) Elaine what's the name of that friend of yours ... that's a therapist ... the woman."
24,ELAINE,Dana Folley.
25,JERRY,"Right, Dana Folley."
26,GEORGE,She any good?
27,ELAINE,"Yeah, she's terrific. Why? You thinking of going?"
28,GEORGE,"Wa, uh, ..."
29,ELAINE,Tia? Who's that?
30,JERRY,She's the model I met on the plane.
31,ELAINE,She sent you a Christmas card?
32,JERRY,Um uh. And we're going out Saturday night.
33,GEORGE,My Darling Susan! My DARLING!!! (They ignore George)
34,JERRY,What are you doing?
35,ELAINE,... date with Fred.
36,JERRY,The religious guy?
37,ELAINE,He's not THAT religious.
38,JERRY,Let us pray. (Kramer Enters)
39,KRAMER,"Hey, you got any Double Crunch?"
40,JERRY,Yeah.
41,JERRY,"Kramer, should I call Susan?"
42,KRAMER,Now what does the little man inside you say? See you gotta listen to the little man.
43,GEORGE,My little man doesn't know.
44,KRAMER,The little man knows all.
45,GEORGE,My little man's an idiot.
46,ELAINE,"See, she was clever. You know she put her picture on a card. I should do that. I never do anything like that."
47,KRAMER,You want a picture like that on a Christmas card? I can do that for you. ...
48,GEORGE,She kept such a nice clean apartment. She was so sanitary.
49,ELAINE,"No, no, I was just thinking out loud I don't want my picture on a card."
50,KRAMER,"No, no, I'll take your picture. I'll take care of everything."
51,GEORGE,She made a big breakfast every Sunday. I don't know what she put in those eggs.
52,KRAMER,"All right, ... now, you come on over. I'll have my cereal and I'll take your picture."
53,ELAINE,Really? Can you really take a picture?
54,JERRY,"Yeah, he's good. He takes good pictures. He's got equipment over there."
55,ELAINE,"All right, ha ha"
56,KRAMER,I don't know about that outfit though.
57,ELAINE,Why? What's wrong with it?
58,KRAMER,"Well, we'll have to improvise. (Elaine and Kramer exit)"
59,GEORGE,"(singing) Oh hey, if you happen to see the most beautiful girl who walked out on me. Tell her I'm sorry. Tell her I need my baby ... oh won't you tell her ... I love her. Oh hey, ..."
60,JERRY,George I'm afraid I'm going to have to ask you to leave. (Change of Scne Tia at Jerry's)
61,JERRY,"So, I'm thinking of putting in na tropical fish tank right here."
62,TIA,Are you sure you're ready for that kind of comitment?
63,JERRY,"Well, I figure if it doesn't work out I can always flush them down the toilet."
64,TIA,That's horrible!
65,JERRY,What's that perfume you're wearing?
66,TIA,oh I completely forgot I want you to see this. The CALVIN KLEIN ad I was telling you about came out today.
67,JERRY,What is that smell?
68,TIA,It's here somewhere.
69,JERRY,It smells like the beach.
70,TIA,Exactly.
71,JERRY,Oh my God is that the new perfume?
72,TIA,Yeah.
73,JERRY,I can't believe this. My next door neighbour had the idea for this exact perfume last year. He even met with an executive at CALVIN KLEIN. I can't believe they stole his idea.
74,TIA,Are you sure?
75,JERRY,And you're the model for this perfume? (Noise)
76,JERRY,"Uh, that's him. He just came home. ... Uh, the door (Jerry pushes his door against Kramer's entrance)"
77,KRAMER,Hey
78,JERRY,Hey.
79,KRAMER,"Hey, how ya' doing? (Trying to enter)"
80,JERRY,"Yeah, uh, I'll see you later."
81,KRAMER,I just wanted to borrow your Dust Buster.
82,JERRY,All right come on in. ... Just wait over HERE! Just wait here and I'll get it for you. ... Kramer this is Tia.
83,KRAMER,Hello. (Jerry pushes tia back away from Kramer)
84,KRAMER,How tall are you?
85,TIA,Five ten.
86,KRAMER,Come on lets see - Back to Back.
87,JERRY,NO! Kramer!
88,KRAMER,What's the matter with you? I just wanted to see how tall she was.
89,JERRY,"Oh, you're tall - she's tall I'm tall. What's the difference who's tall. We're all tall."
90,KRAMER,What's that?
91,JERRY,What?
92,KRAMER,That smell. What's that smell?
93,JERRY,(starting the Dust Buster) What smell?
94,KRAMER,It's very familiar. I can't put my finger on it. It's very familiar.
95,JERRY,"Oh, they're all the same. Here. (gives him Dust Buster) Now if you'll excuse us, .."
96,KRAMER,"Yeah, okay, So I'll see you tomorrow uh?"
97,JERRY,Okay.
98,KRAMER,Yeah. Nice meeting you.
99,TIA,Nice meeting you too.
100,JERRY,I'll see you later. (Kramer slowly leaves as Jerry shuts door on him)
101,JERRY,"Ooow, that was close."
102,(OC) THE BEACH!!!,(enters)
103,KRAMER,You smell like the beach. What's the name of that perfume? you're wearing.
104,TIA,It's Ocean by CALVIN KLEIN.
105,KRAMER,"CALVIN KLEIN? No, no. That's my idea. They, they stole my idea. Y' see I had the idea of a cologne that makes you smell like you just came from the beach."
106,JERRY,I know look at this (shows ad)
107,KRAMER,"Whooo, ... That's you! What is going on here? The gyp(?) he laughs at me then he steals my idea. I could have been a millionaire. I could have been a fragrance millionaire, Jerry. ... They're not going to get away with this. (End of scene) (Therapist's Office) (George enters)"
108,DANA,"Hello. George, come in. Come in I've heard an awful lot about you. Please sit down."
109,GEORGE,"Well hello. Um, ah, specifically the reason that I'm here, uh, I don't know uh what Elaine told you but uh I broke up with my girlfriend a couple of weeks ago. Actually she broke up with me (struggling with his coat zipper) and uh, well, I was the cause of it and uh, I just wanted to find out from you ... What's with this thing?"
110,DANA,"So uh, she broke up with you? ..."
111,GEORGE,"Yeah, and, ... Why won't this go down?"
112,DANA,"It's all right don't worry about it. So, why did she break up with you?"
113,GEORGE,What is with this damn zipper?
114,DANA,It doesn't matter. You'll fix it later. Tell me about your girlfriend.
115,GEORGE,It's stuck on a piece of cloth here. I can't get the cloth out.
116,DANA,"It doesn't matter, so ..."
117,GEORGE,"This is a brand new jacket. Boy this really burns me up, ..."
118,DANA,"George, George, look at me. Okay, forget about the zipper. ... What's your girlfriend's name?"
119,GEORGE,... Susan.
120,DANA,"Okay, we're getting somewhere."
121,GEORGE,"UH, ha ha, ... It's just SO frustrating. It's a brand new jacket. (Jerry's Apartment)"
122,ELAINE,Anyway so Fred and I are going to do some volunteer work for that Church on Amsterdam.
123,JERRY,"Oh, volunteer work!. See that's what I like about the holiday season. That's the true spirit of Christmas. People being helped by people other than me. That makes me feel good inside. Look at what we have here. (mail). A Christmas card from Laine. You didn't have to go to all that trouble."
124,ELAINE,It was no trouble. My assistant did the whole thing.
125,JERRY,I didn't even see the picture. How did it come out?
126,ELAINE,"Well, you know. It's a picture?"
127,JERRY,Oh yeah. Look at that. Looks good. Kramer did a good job.
128,ELAINE,"Yeah, well. How hard is it to take a picture?"
129,JERRY,... um ...
130,ELAINE,What?
131,JERRY,Did you look at look at this picture carefully?
132,ELAINE,Carefully?
133,JERRY,Because I'm not sure and and and correct me if I'm wrong but I think I see ... a nipple.
134,ELAINE,What?
135,JERRY,"Here. Take a look. What, what is that?"
136,ELAINE,(gasps) Oh my God! That's my nipple.
137,JERRY,That's what I thought.
138,ELAINE,"That's my nipple. My nipple's exposed. I sent this card to hundreds of people! My parents. My boss. Uh, Nana and Papa."
139,ELAINE,"Oh God I didn't notice. Oh, what am I going to do? You know your whole life you go through painstaking efforts to hide your nipple and then BOOM, suddenly hundreds of people get their own personal shot of it. (Kramer enters)"
140,KRAMER,Hey!
141,ELAINE,Have you seen the card?
142,KRAMER,What card?
143,ELAINE,This car.
144,KRAMER,"Yeah, yeah. Of course. I took it."
145,ELAINE,Well did you notice anything unusual about it?
146,KRAMER,No.
147,ELAINE,Well come here and take a look.
148,KRAMER,"Yeah, so?"
149,ELAINE,"So, what's that?"
150,KRAMER,That's a nipple.
151,ELAINE,Right!!
152,KRAMER,Ooo!
153,ELAINE,"Aw, great!? Didn't you see that?"
154,KRAMER,"Aw, no, no I didn't notice it. no, uh,"
155,ELAINE,It's because you made me wear that stupid shirt.
156,JERRY,"Well, maybe no one noticed it. You didn't notice it. Let me go get Newman. We'll see if he sees it."
157,ELAINE,No. I don't want him looking.
158,JERRY,Oh what's the difference. Everybody else you know has it.
159,ELAINE,Oh my God. I sent one to the super in my building. My mailman. My ten year old little nephew. Sister Mary Catherine. Father Chelios. Oh my God Fred! I sent one to Fred. (Jerry enters with Newman)
160,NX,Okay. What is it?
161,JERRY,Take a look at this card. Tell me if you notice anything unusual about it.
162,NX,Your nipple's showing.
163,JERRY,Okay. Thanks.
164,NX,Anything else?
165,JERRY,No.
166,NX,All right. See you later.
167,JERRY,What? So what? It's a nipple. A little round circular protuberance. What's the big deal? See everybody's got them. See I got them.
168,KRAMER,I got them too.
169,JERRY,Everybody's got them. (Therapist's Office)
170,DANA,You see it's kind of got a little piece of cloth that's slipped underneath and it's ...
171,GEORGE,Pull it up a little bit.
172,DANA,"Uhg. Well you hold it. Wait, uh, Damn It! I can't move it. God, I've never seen a zipper so stubborn. DAMN IT! I almost had it."
173,GEORGE,"Yeah, okey, wait wait. That will separate."
174,DANA,No. Let me try...
175,GEORGE,Take it right off the chest...
176,DANA,"Ugh, .."
177,GEORGE,You're gonna rip it. You're gonna rip it.
178,DANA,YEAH!! UGH!!! ARG!!! ... I am afraid we're going to have to stop.
179,GEORGE,"Okay. Uh, my mother is is going to pay for the sessions. ... Oh,Elaine?"
180,DANA,Yeah.
181,GEORGE,"(stares at card) (Jerry's car - BMW) (Jerry scratching right side of nose. Tia in a cab sees him, in shock. Cab pulls away.)"
182,JERRY,"No, No, No, No, Oh, No. (Jerry's Apartment) (Jerry hanging up phone)"
183,JERRY,Well every day for the past four days she hasn't returned one call.
184,GEORGE,Was it a scratch or a pick?
185,JERRY,It was a scratch.
186,GEORGE,Hey. It's me.
187,JERRY,Don't you think I know the difference between a pick and a scratch? (Buzzer)
188,JERRY,Yeah?
189,ELAINE,(OC) It's me.
190,JERRY,Come on up.
191,GEORGE,Was there any nostril penetration?
192,JERRY,There may have been some incidental penetration. But from her angle she was in no position to make the call.
193,GEORGE,"So let's say in her mind she witnessed a pick. Okay, so then what?"
194,JERRY,Is that so unforgivable? Is that like breaking a commandment? Did God say to Moses thou shalt not pick?
195,GEORGE,I guarantee you that Moses was a picker. You wander throughh the desert for forty years with that dry air. ... You telling me you're not going to have occasion to clean house a little bit.
196,JERRY,"Let me ask you something. If you were going out with somebody and if she did that what would, would you do? Would you continue going out with her?"
197,GEORGE,No. That's disgusting! (Elaine enters)
198,ELAINE,"You cannot believe what I'm going through. That card is plastered all over the office. Everybody is calling me, Nip! ... Yeah. That's my new nickname at the office. Nip! These guys keep asking me out for drinks. Not only that, Fred, you know the guy I told you about? He hasn't called me in three days. ... (sees card) Oh please!"
199,GEORGE,"Hey. How come I didn't get a Christmas card? Everybody else got one. Jerry got one, Kramer got one. I thought we were good friends. I don't get a Christmas card. I don't get it."
200,ELAINE,You want a Christmas card? You want a Christmas card? All right here. (rubs George's head on her breasts) Here's your Christmas card. (Kramer enters)
201,KRAMER,Got any Double Crunch?
202,JERRY,yeah. I think I do.
203,KRAMER,What's that perfume?
204,ELAINE,"What, Ocean."
205,KRAMER,That's mine. That's my smell. Jerry you've got to get that model to get me an appointment with CALVIN KLEIN.
206,JERRY,I can't She won't return my calls because she caught me in a pick at a light.
207,KRAMER,I thought you said it was a scratch.
208,JERRY,But that's not what she thinks.
209,GEORGE,Why don't you call her agency. Maybe she's been out of town and she didn't get the calls.
210,JERRY,"All right. I'll call the agency. (Elaine grabs card from George) Hello. Yes, I'm trying to get in touch with Tia Van Camp. Do you know if she's been in town? She's been in town. Oh really. well thank you very much. (hangs up) She has been in town. She's at CALVIN KLEIN's right now."
211,KRAMER,Let's go. (Monk's)
212,GEORGE,It'll be different this time.
213,SUSAN,I need someone a little more stable.
214,GEORGE,"I'm not stable? I'm like a rock. I take these glasses off, you can't tell the difference between me and a rock. I put these glasses on a rock. You know what jumps into most people's minds? Costanza!"
215,SUSAN,People don't change.
216,GEORGE,I change I change. Two weeks ago I tried a soft boiled egg. Never liked it before. Now I'm dunkin a piece of toast in there and I'm loving it.
217,SUSAN,I'm not a soft boiled egg.
218,GEORGE,And I am not a piece of toast.
219,SUSAN,I just don't think we have anything in common.
220,GEORGE,"That's okay. That's good. You think Louie Pasteur and his wife had anything in common? He was in the fields all day with the cows, you know with the milk, examining the milk, delving into milk, consummed with milk. Pasteurization, Homogenization, She was in the kitchen killing cockroaches with a boot on each hand."
221,SUSAN,Why were there so many cockroaches?
222,GEORGE,Because. There was a lot of cake lying around the house. Just sitting there going with all the excess milk from all the experiments (grins)
223,SUSAN,And they got along?
224,GEORGE,Yes! Yes. You know. She didn't know about Pasteurization. He didn't know anout Fumigation. But they made it work! (Trump Towers)
225,KRAMER,I want to talk to Calvin.
226,SECRETARY,You can't go in there.
227,KRAMER,Let me talk to Calvin. (Kramer enters office)
228,TIA,Kramer?
229,KRAMER,"Yeah, uh."
230,CALVIN KLEIN,Who are you?
231,KRAMER,I'm here to talk about the ocean.
232,CALVIN KLEIN,"Oh, yes kramer. I uh, think I know something about this. Will you excuse us Tia? (Tia leaves)"
233,KRAMER,Now I don't want any trouble Calvin.
234,CALVIN KLEIN,Neither do I. (Outside office)
235,JERRY,Hello there you are.
236,TIA,What are you doing here?
237,JERRY,"Well, I had to talk to you - I noticed you haven't been returning my calls."
238,TIA,"Well, I've been busy."
239,JERRY,"Because I - I thought we had a good time the other night, an' the only explanation I can come up with is that you think that you caught me (flustered, he indicates a nose pick)"
240,TIA,(Waving him off) I'd rather not talk about this..
241,JERRY,But I was clearly on the outer edge of the nostril.
242,TIA,I know what I saw. (Turns toward the elevators)
243,JERRY,But there - but there was no pick! I - I did not pick! There ws no piick!
244,TIA,I gotta go. (Quickly walks away from Jerry)
245,JERRY,"No! No pick! (Scene ends) Calvin Klein's office) (Kramer, standing, is talking with Klein)"
246,KRAMER,"All right, now here's the scoop, Jockey. I, uh, I came in here last January to talk to one of your ffflunkies.."
247,KLEIN,(Reflecting on Kramer) Interesting face..
248,KRAMER,"Yeah.. And, um, when I told him my idea about the beach cologne, you know, he - he laughed at me."
249,KLEIN,"You're very lithe, aren't you? Very graceful."
250,KRAMER,"Well, yeah."
251,KLEIN,"Sit down, eh? (Kramer, misjudging one side of the couch, sits down uncomfortably) You're very lean, but muscular.."
252,KRAMER,"You know, I try to take care of myself. I - I watch what I eat. Ah, just recently I cut out fructose."
253,KLEIN,You're spectacular.
254,KRAMER,"(Flattered) Oh? (Scene ends) Elaine's office) (Elaine's fighting with her boyfriend, Fred, about her Christmas card)"
255,ELAINE,"I told you, Fred - my friend's next door neighbor took it."
256,FRED,(Incredulous) Soo - what happened?!
257,ELAINE,"Well, I-I-I must a missed a button. I forgot to button it."
258,FRED,I really don't see how you could miss a button like that.
259,ELAINE,"Oh, you've never missed a button?! (Phone rings, she puts it on speakerphone) Yeah?.."
260,RECEPTIONIST,"Your sister, Gail."
261,ELAINE,"Oh, God - my nephew. (Picks up the phone and hits the button) Hi, Gail!.. Yu.. yu... Yes, Gail, I know how old he is."
262,CO-WORKER,"(Pokes his head into the doorway) Hey, Nip, ya need that manuscript or can I take it home?"
263,ELAINE,"Yeah, take it! Take it!.. An' stop calling me ""Nip""! (Co-worker takes it and quickly leaves. Elaine goes back to the phone) It was an accident! Well.. well.. it's gotta be somewhere. Look under his mattress. (Scene ends) Susan's apartment building) (George and Susan are slowly making their way up the stars to Susan's apartment. He's treating it very much like the long walk to an execution; she's mellow and happy) (Scene ends) Calvin Klein's office) (A couple people are sitting with Klein, and talking. Kramer is no where in sight)"
264,WOMAN,"About the focus group? I had nothing to do with the focus group. What's your point? (She sees Kramer emerge from another room. He's wearing only dress shoes, socks, and his briefs) My.. he's sexual, athletic.. an' without a trace of self-consciousness!"
265,KLEIN,His buttocks are sublime!
266,MAN,"Of course, his pectorals could use a little work - I suppose we could get him into the weight room."
267,WOMAN,"(Mesmerized with Kramer's body) No, let's get him in the studio today. We can send these out immediately. (Kramer casually puts his hand on the wall, attempting to lean on it, but the corner is rounded, and he slides along it, eventually falling down. Fortunately, the other people don't notice - they're talking amongst themselves)"
268,MAN,"You've done it again, C.K.! (Scene ends) Calvin Klein office building) (In a hallway, Tia and others are waiting for the elevator. Jerry, deciding to make a speach, starts to preach to the crowd)"
269,JERRY,"An' what if I did do it? Even though I admit to nothing, and never will. What does that make me? And I'm not here just defending myself but all those Pickers out there who've been caught. (Elevator doors open) Each an' every one of them, who has to suffer the shame and humiliation because of people like you.. (Everyone but Jerry is now in the elevator. Jerry's still addressing them) Are we not human?! If we pick, do we not bleed?! (Elevator doors shut. A few people in the hallway are looking at him, he turns and addresses them) I am not an animal! (Scene ends) Elaine's office) (Elaine's standing in the doorway, yelling at Fred)"
270,ELAINE,"I did not bare myself deliberately, but I tell you, I wish now that I had! (Fred, shocked by her speech, flees. She calls after him, still standing at the hallway) Because it is not me that has been exposed, but you! For I have seen the nipple on your soul! (Scene ends) (Monk's)"
271,GX,So the minute I started up the steps to her apartment I knew I made a terrible mistake. Going back with her. So we're in her apartment she goes into the bathroom. I'm cursing myself; now how do I get out of this? Then it hits me like a bolt of lightening. The pick.
272,JERRY,The pick?
273,ELAINE,The pick?
274,GEORGE,"She comes out of the bathroom, I'm in up to my wrist. You should have seen the look on her face."
275,JERRY,I think I've seen that look. (Kramer enters)
276,KRAMER,I've got the magazine. The underwear ad came out.
277,JERRY,"Boy, they really worked on your pectorals."
278,GEORGE,Your buttocks are spectacular.
279,ELAINE,Oh my!
280,KRAMER,What?
281,ELAINE,I'm not sure but... I think I see your...
282,THE END,
0,THE MOVIE,"Written bySteve Skrovan, Bill Masters & John Hayman (Comedy club)"
1,JERRY,"What's with the age gap hiring policy at most movie theaters? Didja ever notice, they never hire anyone between the ages of fifteen... and eighty, you know what I mean? Like, the girl that sells you the ticket, she's ten. Then there's the guy who rips the ticket, he's a hundred and two. So, what happened in the middle, there? You couldn't find anybody? It's like they want to show you how life comes full circle. You're fifteen, you sell the tickets. Then you leave, you go out, you have a family, kids, marriage, career, grandchildren, eighty years later, you're back in the same theater three feet away. Ripping tickets. Took you eighty years to move three feet. 32 seconds)"
2,JERRY,You don't understand. I got this all timed out. I got another
3,KERNIS,"I hear you, guy."
4,JERRY,"And I'm doin' Letterman Monday. You know, I gotta work out the material!"
5,KERNIS,Why don't you come back and do the 11 o'clock spot?
6,JERRY,"No, I'm supposed to meet my friends to see this movie ""CheckMate"""
7,BUCKLES,"Hey, Jer!"
8,JERRY,(not losing a step) Heeeeyyyyyyyy..... (and out the door)
9,GEORGE,"Excuse me, do you have a ticket?"
10,MAN,No.
11,GEORGE,Okay. Good.
12,BUCKLES,Jerry!
13,JERRY,What are (you) doing here?
14,BUCKLES,"Hey, do you think this is funny? ""Why do they call it athlete's foot? You don't have to be an athlete to get it. I mean, my father gets it all the time, and believe me, he's no athlete!"""
15,ELAINE,"I've been *dying* to see ""CheckMate""."
16,GEORGE,"Well, if it's as good as ""Ponce de Leon"", I'll be happy."
17,ELAINE,"""Ponce de Leon"", are you kidding me? I hated that movie!"
18,GEORGE,"""Ponce de Leon""? But that was great!"
19,ELAINE,"Oh, (come on). That Fountain of Youth scene at the end, where they're all splashin' around, and then they go running over to the mirror to see if it really worked? I mean, come on! (laughing too hard to continue) That's stupid!"
20,GEORGE,"Lemme tell you sum'in. When Ponce looked in that mirror and saw that he hadn't changed, and that tear started to roll down his cheek? ... I lost it."
21,KRAMER,"Listen, I'm gonna get a hot dog at Payapa King."
22,G+E,"No, wait!"
23,GEORGE,You're not going to get back here in time!
24,KRAMER,"I'm starvin', I haven't had any dinner!"
25,ELAINE,You can get a hot dog in the theater.
26,KRAMER,I don't wanna get a movie hot dog! (in tears) I want a Papaya King hot dog!
27,ELAINE,"Kramer, Jerry is going to be here any second, and then this line is going to start moving, and we're going to end up in the front row."
28,KRAMER,"Well, just save me a seat."
29,ELAINE,No! I don't want to save seats. Don't put me through that! I once had the fleece just ripped out of my winter coat in a seat-saving incident!
30,GEORGE,I'm in line to buy.
31,ELAINE,"No, George, this is the ticket-(holders) line."
32,GEORGE,"No it's not, it's the ticket-(buyers) line."
33,ELAINE,Then how come we're not moving?
34,KRAMER,Good question.
35,GEORGE,"Is this the ticket holders line, or the buyers?"
36,MAN,Holders.
37,GEORGE,"But I asked you before if you had a ticket, and you said no!"
38,MAN,I didn't. My friend was getting it.
39,GEORGE,(furious) Good. It's good to be accurate like that.
40,ELAINE,Can you believe him?
41,KRAMER,He's spaced out.
42,ELAINE,How long would *you* have stood in the ticket-holders line?
43,KRAMER,(thinks for a while)
44,ELAINE,"(gives up) Yeah, exactly..."
45,ELAINE,I don't wanna go to a... miniplex multi-theater!
46,GEORGE,It's the same movie! What's the difference?
47,ELAINE,"It's not a theater, it's like a room where they bring in POWs to show them propaganda films."
48,JERRY,(to taxi driver) Take the Park!
49,BUCKLES,"No no no, take 55th."
50,BUCKLES,"Jerry, I want you to do me a favor. No more fish!"
51,JERRY,"(rubbing his eyes hoping the nightmare will end) Okay, I get your point!"
52,BUCKLES,I had a point?
53,GEORGE,"Hey, you know what else is playing here? ""Rochelle Rochelle""."
54,ELAINE,Sigh/Ugh.
55,GEORGE,I wouldn't mind seein' (that).
56,ELAINE,"Yeah. You know, men can sit through the most boring movie if there's even the slightest possibility that a woman will take her top off."
57,GEORGE,So what's your point?
58,GEORGE,"By the way, you owe me seven fifty."
59,ELAINE,"Oh, all right. Can you break a twenty?"
60,GEORGE,"No, I don't have any change."
61,ELAINE,"Oh, well, then I'll pay you later."
62,GEORGE,"Or, I could take the twenty, then I could pay *you* later."
63,ELAINE,"Yeah, you *could*..."
64,GEORGE,Might be easier.
65,ELAINE,"I mean, how is that easier? I mean, then you would owe me twelve fifty instead of me owing you seven fifty."
66,GEORGE,"(trying to act as if he doesn't care one way or the other, but we know better) Either way."
67,ELAINE,Yeah.
68,GEORGE,So... Can I have it?
69,ELAINE,"I tell you what, I'll get the popcorn and the soda."
70,GEORGE,"Whaddya mean, you'll ""get"" the popcorn and the soda?"
71,ELAINE,I will buy your popcorn and soda. We'll call it even.
72,GEORGE,"I tell you what, you give me the twenty, and I will buy *you* a popcorn and soda, and I'll throw in a bon-bons."
73,ELAINE,"(exasperated) George, you're sappin' my strength."
74,GEORGE,You go in and save seats.
75,ELAINE,(in a panic) Me!? But that's three seats! I can't save three seats! I told you about that guy who tore up my winter coat!
76,BUCKLES,"Jerry, I want you to have this piece of material."
77,JERRY,"That's very nice of you, but I can't do the voices."
78,BUCKLES,Jerry! Don't start up with me!
79,JERRY,I gotta get out of this cab...
80,BUCKLES,"But Jerry, quit riffing!"
81,JERRY,"No, I'm not riffing. I'm ignoring! Do you understand the difference?"
82,BUCKLES,(pause) Can you help me get on The Tonight Show?
83,ELAINE,"No, these are saved."
84,MAN,"All of them? C'mon, you can't take *four* seats."
85,ELAINE,"What, is that a rule?"
86,GEORGE,"Well, why don't *you* go, and I could save the seats. You said you didn't like saving anyway."
87,ELAINE,"(stopping someone from sitting in the seat next to her) No, *TAKEN*, Taken, taken. (to George) (shrugs) I'm getting the hang of it."
88,GEORGE,"Why don't you give me the twenty, and I'll stop and get change, and then you and I can... uh... you-know, settle."
89,ELAINE,"Can we do this later, George?"
90,GEORGE,"Psh. What's the point of even discussing it? (condescendingly takes her hand and pats it) You'll give me the money when you have it. (takes two steps, then reconsiders, then re-reconsiders) I, I trust you."
91,KRAMER,"Could you do me a favor? If you see a guy that's five foot eleven, he's got uh a big head and flared nostrils, tell him his friend's going to be right back, okay?"
92,ELAINE,"No, I'm sorry, these are taken. ... They're in the lobby buying popcorn. ... What are you doing? These are taken, these are taken!"
93,WOMAN,Which one?
94,ELAINE,These two and this one. ... No! Don't come over here! These are taken. Go! Go! These are taken! They're taken! THEY'RE TAKEN!!!
95,ELAINE,"Oh, take 'em."
96,GEORGE,"Um, excuse me, have you see a guy with like a horse face, big teeth, and a, and a pointed nose?"
97,CLERK,... flared nostrils?
98,GEORGE,Yeah.
99,CLERK,"Nope, haven't seen him."
100,BUCKLES,"Jerry, could you do me a personal favor? And if I'm out of line, *please*, let me know. Could I keep my trench coat in your closet for a few months?"
101,JERRY,Your trench coat in my closet?
102,BUCKLES,"Jerry, my closet is packed to the gills, I'm afraid to open the door. Just for a few months. It'll make all the difference in the world."
103,BUCKLES,"We should see ""Rochelle Rochelle"". I hear it's really hot."
104,JERRY,"No thanks, maybe some other time."
105,BUCKLES,Really? Do you really mean that?
106,JERRY,"No, I don't."
107,BUCKLES,"You liked the athlete's foot bit, right?"
108,JERRY,No. No. I was kidding. It's terrible.
109,JERRY,"Hi, I got some friends inside, I gotta get a message to 'em. Mind if I walk through real quick?"
110,USHER,"(indicates ""okay"")"
111,KRAMER,"Hey, did that guy show up?"
112,CLERK,The guy with the... horse face... and the big teeth...
113,KRAMER,"No, the guy with the big head and the flared nostrils."
114,CLERK,Haven't seen him. There was a short guy with glasses... Looked like Humpty-Dumpty with a melon hat. But he left.
115,WOMAN,"So I got home, and he was vacuuming! I mean, he's twelve years old! Who else but my Alan would do something like that?"
116,WOMAN,"And then last night, he put on my high heels. Oh, he put on such a show for us! He was dancing around, lip-sync'ing to ""A Chorus Line"", I mean you can see he's got talent."
117,ELAINE,"(annoyed) Excuse me, excuse me."
118,WOMAN,What's the problem?
119,ELAINE,"(momentarily shocked, as if the answer were self-evident) You're talking."
120,WOMAN,"It's the ""Coming Attractions""."
121,WOMAN,"So anyway, he sings, he dances. And do you know what he's gotten into now? He is cooking! He does a crepe..."
122,USHER,"Ticket, sir?"
123,GEORGE,"Uh, I just went out, I went to look for my friend?"
124,USHER,Do you have your stub?
125,GEORGE,(as if the word were totally foreign) My `stub'?
126,USHER,Mm hm.
127,GEORGE,You don't remember me?
128,USHER,"It's a big city, sir."
129,GEORGE,"I went in with a pretty woman? You know, kinda short, big wall o' hair, face like a frying pan?"
130,GEORGE,(whispering) Elaine? (loud whisper) Elaine! (louder whisper) Elaine!
131,GEORGE,"(quite out loud, not even pretending to whisper) Elaine!"
132,NARRATOR,"The Village Voice calls it a masterpiece. A young woman's strange, erotic journey from Milan to Minsk."
133,NARRATOR,"It's a story about life. And love. And becoming a woman. ""Rochelle Rochelle"", now playing at Paradise 2."
134,ELAINE,"Uh, could I have a medium Diet Coke?"
135,CLERK,Do you want the Medium size or the middle size?
136,ELAINE,What's the difference?
137,CLERK,"Well, we have three sizes. Medium, Large, and Jumbo."
138,ELAINE,(momentarily perplexed) What happened to the small?
139,CLERK,There is no small. Small is Medium.
140,ELAINE,What's... medium?
141,CLERK,"Medium is Large, and large is Jumbo."
142,ELAINE,Oh-kay. Gimme the large.
143,CLERK,That's medium.
144,ELAINE,Right. Yeah. (fearing the answer) Could I have a small popcorn?
145,CLERK,There is no small. (flash of perky inspiration) Child-size is small.
146,ELAINE,What's `medium'?
147,CLERK,Adult.
148,ELAINE,Do adults ever order the child-size?
149,CLERK,(chuckling) Not usually.
150,ELAINE,"(laughs appreciably) Okay, gimme the `adult'."
151,CLERK,Do you want butter?
152,ELAINE,Is it *real* butter?
153,CLERK,(perkily) It's butter-*flavored*!
154,ELAINE,(exasperated) What is it made of?
155,CLERK,(perkily) It's yellow!
156,JERRY,44th and 9th.
157,DRIVER,Have you got a cigarette?
